username,academy_alpha_auc,n_reviews,mean_rating
gubarenko,0.6116138763197587,90,4.35
willmoviefan97,0.6108050847457628,99,4.303030303030303
superpulse,0.61075,90,3.7
ikheetmark,0.6102325581395349,68,3.2720588235294117
eyebrowcinema,0.6077044025157233,89,3.758426966292135
dirkh,0.6071428571428572,23,4.239130434782608
_lydiogames,0.6060606060606061,48,2.625
matthew,0.6056166056166057,60,3.8666666666666667
laranotzhivago,0.6044624746450303,46,3.6956521739130435
brianformo,0.6031914893617021,97,3.231958762886598
mjsays,0.6027777777777779,27,3.6296296296296298
vishnevetsky,0.6023550724637682,47,3.2127659574468086
ellakemp,0.6005046257359126,70,3.7357142857142858
eviibag,0.6004273504273503,80,3.94375
locarbmonster,0.6000000000000001,51,4.4411764705882355
megshields,0.6,21,3.357142857142857
kindamainstream,0.6,22,3.9545454545454546
ajblack,0.5997899159663865,45,4.022222222222222
mousterpiece,0.5976621417797888,73,3.5273972602739727
kurdt,0.5972222222222222,43,3.9767441860465116
annaswnsn,0.5947916666666666,64,3.59375
ralfmakesmovies,0.59375,23,4.217391304347826
heavynissen,0.59375,20,4.275
wampeter57,0.59375,26,3.8846153846153846
adaydreaming,0.5925925925925926,21,3.380952380952381
pointbreakfan,0.5902668759811618,88,4.079545454545454
justjoshings,0.5901360544217688,35,4.228571428571429
hbarletto242,0.5888888888888889,21,4.214285714285714
ashleepradella,0.5860566448801743,44,3.875
hollieamanda,0.5859375,40,3.4625
yarjka,0.5848214285714286,44,4.0
balanders,0.5847058823529411,42,4.226190476190476
phntmthrd,0.5843989769820972,57,3.3421052631578947
gonegirls,0.5827586206896551,49,3.642857142857143
shookone,0.582256169212691,60,2.933333333333333
gc11,0.5821759259259259,42,3.8333333333333335
oliviaolive,0.5821428571428571,34,3.4705882352941178
bubbleboy,0.5795454545454545,31,3.935483870967742
dallasfrance,0.5791666666666666,32,4.171875
calum_marsh,0.5789473684210527,46,2.6739130434782608
letmeexplain,0.5789473684210527,39,3.9871794871794872
abovemegan,0.574074074074074,39,3.7564102564102564
trey_northcutt,0.5733695652173914,74,4.013513513513513
jakie_jake,0.5722222222222223,39,3.4615384615384617
subsahaaron,0.5722222222222222,51,2.8627450980392157
steele98,0.5719640179910044,75,3.7666666666666666
jacobknight,0.5719298245614035,83,3.7590361445783134
paradoxdl,0.5714743589743589,82,4.170731707317073
etienneone,0.5705882352941176,27,3.7037037037037037
filipe_furtado,0.5700660308143801,76,2.2828947368421053
jeremy_crabb,0.5689890710382514,109,4.064220183486238
lennylobster,0.5677083333333333,20,3.75
impressionblend,0.5672619047619049,83,3.9518072289156625
ericszyszka,0.5661764705882353,25,3.82
zoerosebryant,0.5651351351351351,87,4.454022988505747
nickwibert,0.5647716682199441,66,3.6515151515151514
filmrodolfo,0.5631578947368422,49,4.0
raveness,0.5631578947368422,49,3.816326530612245
sophiaplanos,0.561936936936937,61,3.737704918032787
theorollason,0.5608974358974359,63,3.634920634920635
willhunting,0.5607287449392713,32,4.140625
worsethan,0.5596590909090909,27,3.5185185185185186
troythrace,0.5596273291925465,58,3.5517241379310347
modish,0.559375,64,3.7265625
cevangelista413,0.5587384259259258,84,4.023809523809524
tectactoe,0.5583333333333333,27,3.0925925925925926
sam_kam,0.5580246913580247,42,3.7738095238095237
joekohle,0.5576131687242798,45,4.311111111111111
amandaayoung,0.5564864864864865,87,3.442528735632184
selinale,0.55625,28,3.5535714285714284
cinema_strikes,0.5559440559440559,46,3.4347826086956523
zaragwen,0.5555555555555556,30,4.016666666666667
cramer_k,0.5553359683794467,79,3.348101265822785
chrisemza,0.5551020408163265,79,4.0886075949367084
vanityrex,0.554861111111111,78,3.7756410256410255
yazzjames,0.5548245614035088,31,3.725806451612903
tylerharris,0.553623188405797,38,3.6578947368421053
codymonster91,0.5524242424242425,83,3.674698795180723
zshevich,0.5522138680033417,99,3.8282828282828283
jfrankensteiner,0.5521978021978022,40,2.5625
kanemutiny,0.5512820512820512,40,3.5875
marktinta73,0.5509510869565218,55,3.9545454545454546
lesaladino,0.5507075471698113,93,3.8010752688172045
eely,0.5490196078431373,20,3.625
briantt,0.5485392574558734,115,3.8086956521739133
namelessvero,0.5473484848484849,34,4.0588235294117645
rookj,0.5466666666666666,25,4.32
puffyjacket,0.5466269841269842,46,4.184782608695652
moviemaestro,0.5462101063829787,79,4.1835443037974684
sapphicquinn,0.545751633986928,26,3.9038461538461537
rockmarooned,0.5455047899778924,105,3.6
dustin_b,0.5454545454545455,21,3.9285714285714284
suttercain,0.5451388888888888,36,4.027777777777778
skipper_schutt,0.5440967283072546,94,3.8882978723404253
rdaniel55,0.543609022556391,54,3.9074074074074074
mayawacko,0.5431372549019607,32,3.984375
busiestphilipps,0.5426829268292683,61,3.081967213114754
stautis,0.5416666666666667,28,3.3214285714285716
m_penalosa,0.5416666666666666,20,1.85
chavrosbaby,0.5416666666666666,34,4.367647058823529
